sp;Hmax;smass;esp;wood;area;ldmc;sla;dist_max;logmassmg;sindr;log.esp;log.wood;log.area;log.ldmc;log.sla;log.dist_max
Sideroxylon.obtusifolium;5;0.15;0.12;0.72967033;1.018;0.0375;1131.111111;2.797593643;2.176091259;zoo;-0.920818754;-0.136873313;0.007747778;-1.425968732;3.053505269;0.446784632
Simaba.ferruginea;NA;0.477;0.254090909;0.675542835;51.57204545;0.606971124;85.64420328;NA;2.678518379;zoo;-0.595010873;-0.170347108;1.712414357;-0.21683197;1.932697974;NA
Solanum.rhytidoandrum;2.3;0.0022;0.183264214;0.73036217;34.36587726;0.294268193;222.5013904;1.944018817;0.342422681;zoo;-0.736922331;-0.13646173;1.536127435;-0.531256678;2.347332729;0.288700464
Spondias.tuberosa;6.2;4.15;0.235;0.485733746;28.666;0.161364751;187.248044;2.667836386;3.618048097;zoo;-0.628932138;-0.313601723;1.457367097;-0.792191328;2.27241729;0.426159191
Stillingia.trapezoidea;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Strychnos.rubiginosa;2.5;NA;0.18;0.68;2.479;0.42553;122.13;NA;NA;zoo;-0.744727495;-0.167491087;0.394276527;-0.371069817;2.086822357;#VALUE!
Thiloa.glaucocarpa;3.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tournefortia.rubriflora;NA;NA;0.15;0.718844221;3.6475;0.234880849;132.3181471;1.884845458;NA;zoo;-0.823908741;-0.143365214;0.561995301;-0.629152392;2.121619411;0.275275747
Trischidium.molle;4;0.1398;0.168846154;0.543813349;35.76169231;0.351156171;116.9683557;1.781708925;2.145507171;zoo;-0.772508827;-0.264550136;1.553418062;-0.454499695;2.068068385;0.250836755
Turnera.cearensis;3.5;0.0008;0.12;0.689830508;0.978;0.275714286;129.5643939;0.218110434;-0.096910013;auto;-0.920818754;-0.161257603;-0.009661145;-0.559540731;2.112485668;-0.661323558
Waltheria.brachypetala;3.75;0.004;0.233571429;0.671049504;15.49514286;0.348244614;106.5515638;0.155212275;0.602059991;auto;-0.631580282;-0.17324544;1.190195585;-0.458115592;2.027559828;-0.809073935
Xylosma.ciliatifolia;6.2;0.059;0.057333333;0.63598011;36.72506667;0.338188393;239.8131903;2.834059875;1.770852012;zoo;-1.24159281;-0.196556467;1.564962593;-0.470841302;2.379873067;0.452409021
Zanthoxylum.stelligerum;5;0.2107;0.222857143;0.695151535;57.876;0.314181548;91.46099651;1.765732962;2.323664536;zoo;-0.651973441;-0.157920514;1.762498508;-0.502819325;1.961235929;0.246925024
Zizyphus.joazeiro;6;0.2107;0.146666667;0.712806713;13.98266667;0.317545614;219.3310724;2.784258373;2.323664536;zoo;-0.833668577;-0.147028219;1.145590005;-0.498193881;2.341100162;0.444709534
